Id,Prompt_Norm,Concept_Norm,Dot_Product,Cosine_Sim,Token_Confidence,Prompt_Length,Collapse_Alpha,Optimal_Alpha,Success
5a7a567255429941d65f25bd,512.5123901367188,397.6024169921875,193337.625,0.9487745761871338,0.12095463275909424,116,1.2229771639651235,0.0,False
5abca1a55542993a06baf937,518.2546997070312,413.326416015625,199324.78125,0.9305182695388794,0.17854739725589752,232,1.1667423756871778,0.0,False
5a73977d554299623ed4ac08,468.6223449707031,404.956787109375,178753.40625,0.9419386982917786,0.19089411199092865,187,1.0900262629723267,0.0,False
5ab514c05542991779162d72,515.5925903320312,449.36334228515625,221270.71875,0.9550358057022095,0.33767229318618774,415,1.0957933597258842,0.0,False
5add2b435542990d50227e11,488.0653381347656,375.64849853515625,170537.71875,0.9301668405532837,0.09811701625585556,53,1.2085291622895902,0.0,False
5a88d6df554299206df2b377,535.0321044921875,402.70751953125,207215.34375,0.9617282152175903,0.27451878786087036,168,1.2777398289019444,0.0,False
5ae6b6065542991bbc976168,584.38525390625,395.98162841796875,220138.71875,0.9513102173805237,0.0714130625128746,253,1.4039329271089056,0.0,False
5ae531ee5542990ba0bbb1ff,537.9095458984375,347.7356262207031,176035.4375,0.9411128759384155,0.11317823827266693,159,1.455800047772306,0.0,False
5a8aa5835542996c9b8d5f4e,508.5545959472656,427.2037048339844,207480.953125,0.9550050497055054,0.15390832722187042,182,1.1368632129193461,0.0,False
5ab82d095542990e739ec853,523.414794921875,423.5652770996094,208790.9375,0.9417710304260254,0.41670405864715576,125,1.1637801447731353,0.0,False
5ae4c01e55429913cc2044f3,497.06005859375,409.8457946777344,192173.5625,0.9433313012123108,0.24431149661540985,209,1.1440702027907852,0.0,False
5a89fea655429970aeb701eb,486.19525146484375,384.13140869140625,173295.46875,0.9278903007507324,0.13614732027053833,150,1.174431170397383,0.0,False
5a80cf4c55429938b61421f6,505.35174560546875,399.7411193847656,191537.625,0.9481598138809204,0.14482930302619934,206,1.1986612048429042,0.0,False
5a89b1de5542992e4fca8378,523.172119140625,384.6203918457031,190528.90625,0.9468561410903931,0.20356866717338562,103,1.2879418710324004,0.0,False
5a77897f55429949eeb29edc,511.65875244140625,410.5081787109375,201645.6875,0.960034191608429,0.4499858319759369,162,1.1965898373557102,0.0,False
5ae0132d55429925eb1afc00,544.1038208007812,408.2579650878906,213081.90625,0.9592463970184326,0.5752778053283691,110,1.278430844472356,0.0,False
5a7129685542994082a3e5fa,527.9992065429688,384.6686096191406,194791.234375,0.9590680599212646,0.027536476030945778,124,1.3164243722767157,0.0,False
5ae762835542997b22f6a711,545.64306640625,355.79840087890625,181468.40625,0.9347348213195801,0.10972490906715393,56,1.4334846319587475,0.0,False
5ae2f5b955429928c423957e,512.9474487304688,417.7981872558594,203994.71875,0.9518740773200989,0.22976934909820557,181,1.1686536541796857,0.0,False
5ae7b271554299540e5a564d,488.4088134765625,400.50213623046875,172272.796875,0.8807007670402527,0.15678122639656067,185,1.0740067992674207,0.0,False
5a89a74e554299669944a562,578.1848754882812,386.3118591308594,213027.625,0.9537426233291626,0.05480710044503212,105,1.4274465147835194,0.0,False
5adcceda5542990d50227d31,471.7213439941406,378.0874328613281,163469.03125,0.9165533185005188,0.05933734029531479,113,1.1435390626676423,0.0,False
5a7518cb55429916b0164259,568.5863647460938,363.94500732421875,199472.515625,0.9639420509338379,0.20603834092617035,132,1.505953397837697,0.0,False
5ab9180b5542991b5579f0f3,527.7243041992188,421.5773010253906,212943.453125,0.9571499228477478,0.19496312737464905,173,1.1981463086932034,0.5429100461266078,True
5abb326055429966062416e7,509.1486511230469,407.917724609375,197682.484375,0.951811671257019,0.16797251999378204,196,1.1880180456707925,0.0,False
5a8ef1e35542995a26add57a,541.7469482421875,391.24713134765625,192541.53125,0.9083993434906006,0.045305199921131134,129,1.2578304056489138,0.0,False
5adf03b35542993a75d263d3,518.9929809570312,417.2906799316406,208335.4375,0.9619731903076172,0.10608375817537308,181,1.19642582565459,0.0,False
5a88d745554299206df2b378,470.31256103515625,396.6385192871094,172312.6875,0.923710286617279,0.4324730932712555,196,1.0952858567180201,0.0,False
5ab3bacc55429969a97a8197,496.0862121582031,399.1646728515625,190279.0625,0.9609078168869019,0.07244684547185898,275,1.1942267827068687,0.0,False
5a7f244255429934daa2fcec,491.93756103515625,380.96453857421875,174702.46875,0.9321901202201843,0.20083726942539215,259,1.2037323661763024,0.0,False
5ac39f7b554299218029dbe7,523.1014404296875,436.2019348144531,210716.625,0.9234753251075745,0.15087272226810455,233,1.1074487223895637,0.0,False
5a810d7655429903bc27b915,449.34527587890625,393.7566223144531,167809.078125,0.948434591293335,0.28666046261787415,162,1.082330033032657,0.0,False
5ae4cb2f55429960a22e01e8,524.2335815429688,407.8786315917969,205485.375,0.9610037803649902,0.07344099879264832,221,1.2351480300906503,0.0,False
